timestamp,Primary Data Center (kW),Backup Data Center (kW)
2025-03-01 18:45:00,300.19,38.44
2025-03-01 18:50:00,300.47,41.74
2025-03-01 18:55:00,300.7,38.83
2025-03-01 19:00:00,298.21,39.63
2025-03-01 19:05:00,299.29,39.64
2025-03-01 19:10:00,295.73,40.49
2025-03-01 19:15:00,298.52,38.33
2025-03-01 19:20:00,298.37,39.59
2025-03-01 19:25:00,301.25,40.49
2025-03-01 19:30:00,296.53,39.93
2025-03-01 19:35:00,302.34,39.77
2025-03-01 19:40:00,304.48,40.18
2025-03-01 19:45:00,293.79,41.03
2025-03-01 19:50:00,301.28,39.6
2025-03-01 19:55:00,302.03,38.92
2025-03-01 20:00:00,248.09,39.55
2025-03-01 20:05:00,248.81,39.5
2025-03-01 20:10:00,249.6,39.51
2025-03-01 20:15:00,249.11,39.62
2025-03-01 20:20:00,249.07,38.17
2025-03-01 20:25:00,244.97,38.9
2025-03-01 20:30:00,253.46,40.36
2025-03-01 20:35:00,253.24,39.78
2025-03-01 20:40:00,247.56,38.21
2025-03-01 20:45:00,245.6,40.98
2025-03-01 20:50:00,251.56,38.6
2025-03-01 20:55:00,248.27,40.82
2025-03-01 21:00:00,250.43,40.39
2025-03-01 21:05:00,249.04,38.81
2025-03-01 21:10:00,252.07,38.79
2025-03-01 21:15:00,252.08,39.85
2025-03-01 21:20:00,247.82,41.83
2025-03-01 21:25:00,245.85,40.82
2025-03-01 21:30:00,290.25,38.93
2025-03-01 21:35:00,296.83,40.84
2025-03-01 21:40:00,291.43,37.9
2025-03-01 21:45:00,293.48,40.24
2025-03-01 21:50:00,293.21,39.97
2025-03-01 21:55:00,294.84,40.79
2025-03-01 22:00:00,289.19,41.11
2025-03-01 22:05:00,295.57,42.5
2025-03-01 22:10:00,296.57,37.16
2025-03-01 22:15:00,295.27,38.94
2025-03-01 22:20:00,294.07,41.06
2025-03-01 22:25:00,295.29,40.96
2025-03-01 22:30:00,296.2,40.82
2025-03-01 22:35:00,286.68,37.48
2025-03-01 22:40:00,300.87,41.57
2025-03-01 22:45:00,296.17,39.8
2025-03-01 22:50:00,293.04,42.03
2025-03-01 22:55:00,293.83,39.94
2025-03-01 23:00:00,296.48,40.53
2025-03-01 23:05:00,294.65,40.97
2025-03-01 23:10:00,288.91,39.64
2025-03-01 23:15:00,301.19,37.76
2025-03-01 23:20:00,294.67,40.57
2025-03-01 23:25:00,298.06,39.96
2025-03-01 23:30:00,247.92,40.83
2025-03-01 23:35:00,254.61,39.87
2025-03-01 23:40:00,250.86,40.22
2025-03-01 23:45:00,251.83,40.36
2025-03-01 23:50:00,246.86,39.66
2025-03-01 23:55:00,253.63,38.65
2025-03-02 00:00:00,252.07,38.7
2025-03-02 00:05:00,253.91,40.77
2025-03-02 00:10:00,248.12,39.94
2025-03-02 00:15:00,248.56,38.76
2025-03-02 00:20:00,256.91,41.68
2025-03-02 00:25:00,246.82,41.14
2025-03-02 00:30:00,249.59,38.47
2025-03-02 00:35:00,253.41,40.82
2025-03-02 00:40:00,250.29,38.8
2025-03-02 00:45:00,251.75,38.45
2025-03-02 00:50:00,248.8,39.4
2025-03-02 00:55:00,251.11,39.39
2025-03-02 01:00:00,246.08,38.93
2025-03-02 01:05:00,254.97,39.88
2025-03-02 01:10:00,249.65,40.01
2025-03-02 01:15:00,247.96,39
2025-03-02 01:20:00,252,39.88
2025-03-02 01:25:00,248.62,39.46
2025-03-02 01:30:00,306,38.3
2025-03-02 01:35:00,305.96,40
2025-03-02 01:40:00,312.08,39
2025-03-02 01:45:00,309.52,40.36
2025-03-02 01:50:00,309.6,39.3
2025-03-02 01:55:00,313.23,39.47
2025-03-02 02:00:00,306.62,39.24
2025-03-02 02:05:00,307.81,38.68
2025-03-02 02:10:00,308.85,39.47
2025-03-02 02:15:00,310.28,37.84
2025-03-02 02:20:00,309.87,40.41
2025-03-02 02:25:00,309.14,38.36
2025-03-02 02:30:00,309.82,39.65
2025-03-02 02:35:00,309.68,41.16
2025-03-02 02:40:00,307.84,40.29
2025-03-02 02:45:00,307.56,39.85
2025-03-02 02:50:00,310.82,38.47
2025-03-02 02:55:00,307.33,40.29
2025-03-02 03:00:00,306.53,40.01
2025-03-02 03:05:00,309.06,37.82
2025-03-02 03:10:00,309.53,41
2025-03-02 03:15:00,316.77,40.87
2025-03-02 03:20:00,307.89,41.12
2025-03-02 03:25:00,312.83,39.91
2025-03-02 03:30:00,252.24,41.48
2025-03-02 03:35:00,246.43,40.51
2025-03-02 03:40:00,252.32,39.28
2025-03-02 03:45:00,246.45,39.64
2025-03-02 03:50:00,242.02,39.89
2025-03-02 03:55:00,251.82,39.54
2025-03-02 04:00:00,244.73,41.69
2025-03-02 04:05:00,251.35,39.65
2025-03-02 04:10:00,247.95,39.65
2025-03-02 04:15:00,254.98,40
2025-03-02 04:20:00,253.21,41.6
2025-03-02 04:25:00,248.64,40.81
2025-03-02 04:30:00,247.94,40.16
2025-03-02 04:35:00,246.36,39.64
2025-03-02 04:40:00,248.68,39.75
2025-03-02 04:45:00,249.16,39.42
2025-03-02 04:50:00,248.91,40.83
2025-03-02 04:55:00,250.47,39.51
2025-03-02 05:00:00,251.74,114.28
2025-03-02 05:05:00,251.05,114.94
2025-03-02 05:10:00,247.71,114.66
2025-03-02 05:15:00,245.69,113.44
2025-03-02 05:20:00,254.09,114.39
2025-03-02 05:25:00,247.93,115.52
2025-03-02 05:30:00,248.04,113.77
2025-03-02 05:35:00,248.44,115.64
2025-03-02 05:40:00,244.47,115.24
2025-03-02 05:45:00,248.57,116.53
2025-03-02 05:50:00,248.56,115.58
2025-03-02 05:55:00,251.86,114.32
2025-03-02 06:00:00,252.1,114.47
2025-03-02 06:05:00,250.01,114.8
2025-03-02 06:10:00,252.8,114.26
2025-03-02 06:15:00,251.02,115.41
2025-03-02 06:20:00,249.95,115.01
2025-03-02 06:25:00,250.48,113.96
2025-03-02 06:30:00,249.43,113.79
2025-03-02 06:35:00,248.82,114.67
2025-03-02 06:40:00,249.2,114.13
2025-03-02 06:45:00,246.62,116.76
2025-03-02 06:50:00,250.84,114.03
2025-03-02 06:55:00,247.02,116.53
2025-03-02 07:00:00,252.52,40.28
2025-03-02 07:05:00,249.25,41.24
2025-03-02 07:10:00,250.15,40.47
2025-03-02 07:15:00,251.48,41.17
2025-03-02 07:20:00,251.93,38.72
2025-03-02 07:25:00,245.29,38.42
2025-03-02 07:30:00,249.38,40.44
2025-03-02 07:35:00,252.64,38.9
2025-03-02 07:40:00,244.91,40.65
2025-03-02 07:45:00,251.16,40.45
2025-03-02 07:50:00,243.23,39.85
2025-03-02 07:55:00,246.93,40.78
2025-03-02 08:00:00,250.12,39.32
2025-03-02 08:05:00,245.03,40.96
2025-03-02 08:10:00,247.04,39.14
2025-03-02 08:15:00,245.58,41.22
2025-03-02 08:20:00,254.94,40.29
2025-03-02 08:25:00,250.49,37.4
2025-03-02 08:30:00,251.7,38.46
2025-03-02 08:35:00,249.33,40.08
2025-03-02 08:40:00,248.94,41.59
2025-03-02 08:45:00,245.15,39.27
2025-03-02 08:50:00,249.12,40.73
2025-03-02 08:55:00,247.72,40.93
2025-03-02 09:00:00,252.57,40.71
2025-03-02 09:05:00,253.42,38.74
2025-03-02 09:10:00,254.4,41.18
2025-03-02 09:15:00,252.56,38.08
2025-03-02 09:20:00,248.2,40.7
2025-03-02 09:25:00,246.65,38.91
2025-03-02 09:30:00,252.3,39.72
2025-03-02 09:35:00,251.07,40.69
2025-03-02 09:40:00,244.69,41.25
2025-03-02 09:45:00,251.07,40.18
2025-03-02 09:50:00,252.44,40.43
2025-03-02 09:55:00,250.18,40.02
2025-03-02 10:00:00,249.44,38.42
2025-03-02 10:05:00,247.58,39.61
2025-03-02 10:10:00,245.66,40.88
2025-03-02 10:15:00,252.4,39.6
2025-03-02 10:20:00,249.07,40.47
2025-03-02 10:25:00,249.3,38.5
2025-03-02 10:30:00,255.2,40.37
2025-03-02 10:35:00,252.05,39.09
2025-03-02 10:40:00,251.11,40.73
2025-03-02 10:45:00,250.43,39.22
2025-03-02 10:50:00,254.56,40.57
2025-03-02 10:55:00,255.16,39.3
2025-03-02 11:00:00,252.79,41.87
2025-03-02 11:05:00,251.75,40.05
2025-03-02 11:10:00,243.72,42.73
2025-03-02 11:15:00,250.37,41
2025-03-02 11:20:00,249.61,38.63
2025-03-02 11:25:00,250.28,40.53
2025-03-02 11:30:00,252.83,38.41
2025-03-02 11:35:00,241.78,40.51
2025-03-02 11:40:00,248.29,39.99
2025-03-02 11:45:00,250.81,38.09
2025-03-02 11:50:00,248.6,40.58
2025-03-02 11:55:00,245.75,38.68
2025-03-02 12:00:00,252.61,39.09
2025-03-02 12:05:00,250.83,39.42
2025-03-02 12:10:00,247.09,39.85
2025-03-02 12:15:00,250.94,40.91
2025-03-02 12:20:00,252.46,39.88
2025-03-02 12:25:00,250.02,40.63
2025-03-02 12:30:00,252.4,39.57
2025-03-02 12:35:00,250.23,41.04
2025-03-02 12:40:00,248.81,39.65
2025-03-02 12:45:00,246.52,41.07
2025-03-02 12:50:00,249.74,40.94
2025-03-02 12:55:00,250.58,39.37
2025-03-02 13:00:00,267.63,38.21
2025-03-02 13:05:00,264.65,39.16
2025-03-02 13:10:00,266.37,40.46
2025-03-02 13:15:00,262.11,38.63
2025-03-02 13:20:00,262.65,39.85
2025-03-02 13:25:00,264.67,40.46
2025-03-02 13:30:00,261.84,39.25
2025-03-02 13:35:00,267.46,39.2
2025-03-02 13:40:00,266.39,39.82
2025-03-02 13:45:00,265.84,39.72
2025-03-02 13:50:00,266.02,41.35
2025-03-02 13:55:00,271.06,40.91
2025-03-02 14:00:00,263.59,40.63
2025-03-02 14:05:00,258.4,39.88
2025-03-02 14:10:00,265.6,40.52
2025-03-02 14:15:00,264.85,39.19
2025-03-02 14:20:00,263.45,38.56
2025-03-02 14:25:00,262.06,39.47
2025-03-02 14:30:00,263.68,39.53
2025-03-02 14:35:00,265.54,39.57
2025-03-02 14:40:00,263.49,39.94
2025-03-02 14:45:00,272.24,40.27
2025-03-02 14:50:00,262.12,38.76
2025-03-02 14:55:00,262.62,41.98
2025-03-02 15:00:00,243.13,40.59
2025-03-02 15:05:00,250.75,40.71
2025-03-02 15:10:00,243.95,40.14
2025-03-02 15:15:00,248.38,39.57
2025-03-02 15:20:00,249.17,40.84
2025-03-02 15:25:00,247.87,38.46
2025-03-02 15:30:00,255.22,42.2
2025-03-02 15:35:00,252.98,38.71
2025-03-02 15:40:00,253.96,41.65
2025-03-02 15:45:00,247.35,40.44
2025-03-02 15:50:00,253.39,39.31
2025-03-02 15:55:00,251.49,38.17
2025-03-02 16:00:00,252.31,39.88
2025-03-02 16:05:00,253.09,40.02
2025-03-02 16:10:00,247.27,39.89
2025-03-02 16:15:00,248.73,38.23
2025-03-02 16:20:00,252.59,40.57
2025-03-02 16:25:00,242.03,39.17
2025-03-02 16:30:00,254.54,40.31
2025-03-02 16:35:00,251.66,39.45
2025-03-02 16:40:00,249.86,40.54
2025-03-02 16:45:00,250.66,40.94
2025-03-02 16:50:00,246.91,40.23
2025-03-02 16:55:00,248.95,40.46
2025-03-02 17:00:00,253.3,40.61
2025-03-02 17:05:00,253.89,39.48
2025-03-02 17:10:00,258.09,40.66
2025-03-02 17:15:00,249.78,39.49
2025-03-02 17:20:00,248.02,40.37
2025-03-02 17:25:00,248.46,42.59
2025-03-02 17:30:00,246.95,38.15
2025-03-02 17:35:00,249.77,41.37
2025-03-02 17:40:00,251.15,39.7
2025-03-02 17:45:00,249.9,38.28
2025-03-02 17:50:00,253.29,40.33
2025-03-02 17:55:00,249.3,39.01
2025-03-02 18:00:00,298.96,41.95
2025-03-02 18:05:00,298.26,40.53
2025-03-02 18:10:00,295.1,40.64
2025-03-02 18:15:00,295.3,40.21
2025-03-02 18:20:00,296.46,39.69
2025-03-02 18:25:00,303.9,40.01
2025-03-02 18:30:00,302.69,39.16
2025-03-02 18:35:00,304.12,40.63
2025-03-02 18:40:00,296,42.17
2025-03-02 18:45:00,294.09,38.69
2025-03-02 18:50:00,298.02,40.56
2025-03-02 18:55:00,300.53,39.2
2025-03-02 19:00:00,301.5,40
2025-03-02 19:05:00,303.14,40.72
2025-03-02 19:10:00,300.85,41.19
2025-03-02 19:15:00,305.23,40.23
2025-03-02 19:20:00,299.33,39.99
2025-03-02 19:25:00,297.26,37.63
2025-03-02 19:30:00,294.96,39.76
2025-03-02 19:35:00,297.33,39.43
2025-03-02 19:40:00,300.73,40.83
2025-03-02 19:45:00,297.33,40.19
2025-03-02 19:50:00,302.81,40.68
2025-03-02 19:55:00,304.24,39.89
2025-03-02 20:00:00,242.89,40.1
2025-03-02 20:05:00,252.59,40.63
2025-03-02 20:10:00,243.28,38.16
2025-03-02 20:15:00,251.2,39.75
2025-03-02 20:20:00,253.67,40.86
2025-03-02 20:25:00,250.19,40.64
2025-03-02 20:30:00,246.16,40.65
2025-03-02 20:35:00,248.24,40.55
2025-03-02 20:40:00,249.22,39.68
2025-03-02 20:45:00,249.45,39.24
2025-03-02 20:50:00,249.39,40.59
2025-03-02 20:55:00,249.67,40.79
2025-03-02 21:00:00,250.64,40.76
2025-03-02 21:05:00,246.37,40.78
2025-03-02 21:10:00,249.27,38.96
2025-03-02 21:15:00,254.55,39.34
2025-03-02 21:20:00,248.85,41.5
2025-03-02 21:25:00,248.67,39.99
2025-03-02 21:30:00,298.23,40.76
2025-03-02 21:35:00,287.32,40.9
2025-03-02 21:40:00,298.54,39.03
2025-03-02 21:45:00,293.1,39.77
2025-03-02 21:50:00,295.49,41
2025-03-02 21:55:00,295.29,39.67
2025-03-02 22:00:00,297.83,39.19
2025-03-02 22:05:00,294.2,39.65
2025-03-02 22:10:00,292.97,42.35
2025-03-02 22:15:00,298.89,40.69
2025-03-02 22:20:00,287.91,40.31
2025-03-02 22:25:00,295.06,39.56
2025-03-02 22:30:00,290.96,42.63
2025-03-02 22:35:00,292.72,40.24
2025-03-02 22:40:00,301.03,39.07
2025-03-02 22:45:00,294.87,39.86
2025-03-02 22:50:00,295.59,39.13
2025-03-02 22:55:00,289.66,40.71
2025-03-02 23:00:00,292.81,39.69
2025-03-02 23:05:00,295.59,39.91
2025-03-02 23:10:00,296.06,40.65
2025-03-02 23:15:00,296.85,39.54
2025-03-02 23:20:00,295.03,41.72
2025-03-02 23:25:00,296.58,40.25
2025-03-02 23:30:00,251.36,39.41
2025-03-02 23:35:00,244.51,39.43
2025-03-02 23:40:00,250.11,38.71
2025-03-02 23:45:00,252.3,40.35
2025-03-02 23:50:00,251.77,39.72
2025-03-02 23:55:00,248.91,40.17
2025-03-03 00:00:00,247.58,40.77
2025-03-03 00:05:00,246.65,39.68
2025-03-03 00:10:00,249.61,39.4
2025-03-03 00:15:00,253.4,39.92
2025-03-03 00:20:00,244.14,40.65
2025-03-03 00:25:00,248.02,38.47
2025-03-03 00:30:00,246.58,39.13
2025-03-03 00:35:00,252.35,39.78
2025-03-03 00:40:00,248.34,41.15
2025-03-03 00:45:00,248.59,40.6
2025-03-03 00:50:00,249.35,39.26
2025-03-03 00:55:00,251.34,39.96
2025-03-03 01:00:00,248.82,38.62
2025-03-03 01:05:00,240.86,40.6
2025-03-03 01:10:00,251.63,38.8
2025-03-03 01:15:00,251.32,39.53
2025-03-03 01:20:00,249.34,41.1
2025-03-03 01:25:00,246.75,40.48
2025-03-03 01:30:00,311.06,40.39
2025-03-03 01:35:00,311.14,40.52
2025-03-03 01:40:00,308.59,42.13
2025-03-03 01:45:00,309.35,41.78
2025-03-03 01:50:00,307.21,41.8
2025-03-03 01:55:00,309.46,40.54
2025-03-03 02:00:00,305.35,41.65
2025-03-03 02:05:00,311.25,38.8
2025-03-03 02:10:00,307.17,38.86
2025-03-03 02:15:00,310.71,38.65
2025-03-03 02:20:00,305.78,41.05
2025-03-03 02:25:00,308.23,39.63
2025-03-03 02:30:00,309.67,39.93
2025-03-03 02:35:00,305.02,38.29
2025-03-03 02:40:00,310.35,39.84
2025-03-03 02:45:00,308.86,38.31
2025-03-03 02:50:00,304.77,38.34
2025-03-03 02:55:00,306.09,38.66
2025-03-03 03:00:00,311.82,39.78
2025-03-03 03:05:00,312.69,41.36
2025-03-03 03:10:00,309.6,39.23
2025-03-03 03:15:00,311.21,39.4
2025-03-03 03:20:00,310.67,38.49
2025-03-03 03:25:00,310.99,40.62
2025-03-03 03:30:00,253.86,38.98
2025-03-03 03:35:00,245.48,40.44
2025-03-03 03:40:00,252.03,39.71
2025-03-03 03:45:00,248.85,41.38
2025-03-03 03:50:00,249.33,40.91
2025-03-03 03:55:00,249.09,41.74
2025-03-03 04:00:00,248.87,39.2
2025-03-03 04:05:00,246.32,40.79
2025-03-03 04:10:00,250.55,40
2025-03-03 04:15:00,255.01,40.44
2025-03-03 04:20:00,249.83,41.37
2025-03-03 04:25:00,250,39.67
2025-03-03 04:30:00,247.94,41.69
2025-03-03 04:35:00,249.65,39.19
2025-03-03 04:40:00,251.4,41.71
2025-03-03 04:45:00,248.89,40.36
2025-03-03 04:50:00,248.64,39.88
2025-03-03 04:55:00,251.21,40.65
2025-03-03 05:00:00,247.25,117.55
2025-03-03 05:05:00,250.76,114.09
2025-03-03 05:10:00,252.46,114.82
2025-03-03 05:15:00,254.08,112.8
2025-03-03 05:20:00,249.73,113
2025-03-03 05:25:00,254.1,115.43
2025-03-03 05:30:00,253.1,114.25
2025-03-03 05:35:00,247.01,113.99
2025-03-03 05:40:00,246.35,114.25
2025-03-03 05:45:00,249.09,114.74
2025-03-03 05:50:00,253.09,113.76
2025-03-03 05:55:00,249.78,114.93
2025-03-03 06:00:00,248.2,115.22
2025-03-03 06:05:00,254.66,115.41
2025-03-03 06:10:00,250.86,115.54
2025-03-03 06:15:00,243.04,114.64
2025-03-03 06:20:00,250.95,115.2
2025-03-03 06:25:00,251.56,114.3
2025-03-03 06:30:00,250.68,114.32
2025-03-03 06:35:00,251.35,114.53
2025-03-03 06:40:00,249.8,116.02
2025-03-03 06:45:00,246.04,114.06
2025-03-03 06:50:00,248.89,113.54
2025-03-03 06:55:00,247.16,116.01
2025-03-03 07:00:00,247.2,39.46
2025-03-03 07:05:00,246.21,42.38
2025-03-03 07:10:00,251.36,39.22
2025-03-03 07:15:00,250.29,39.75
2025-03-03 07:20:00,248.66,38.26
