timestamp,Midwest Carbon Intensity (grams of CO2 per kWh),East Carbon Intensity (grams of CO2 per kWh),West Carbon Intensity (grams of CO2 per kWh)
2025-03-01 04:15:00,548.9,427.5,393.2
2025-03-01 04:20:00,542.3,429,395.5
2025-03-01 04:25:00,545.4,426.5,405.2
2025-03-01 04:30:00,544.6,417.6,396.6
2025-03-01 04:35:00,543.7,422.7,402.2
2025-03-01 04:40:00,544.4,421.2,398.1
2025-03-01 04:45:00,549.3,421.8,399.3
2025-03-01 04:50:00,541.7,413.8,399.9
2025-03-01 04:55:00,546.7,406.7,404.9
2025-03-01 05:00:00,538.2,408.1,401.8
2025-03-01 05:05:00,541.6,405.3,401.2
2025-03-01 05:10:00,542.5,408.2,403.9
2025-03-01 05:15:00,543.1,395.2,398.1
2025-03-01 05:20:00,542.8,399.3,403.2
2025-03-01 05:25:00,542.3,402.2,402.7
2025-03-01 05:30:00,538.1,395.1,402.7
2025-03-01 05:35:00,537,394.9,399.5
2025-03-01 05:40:00,540.1,384.3,398.7
2025-03-01 05:45:00,536.1,381.5,397.4
2025-03-01 05:50:00,531.9,387.6,397.6
2025-03-01 05:55:00,531.4,380.6,397.2
2025-03-01 06:00:00,531,377.5,401.1
2025-03-01 06:05:00,534.2,370.8,399.3
2025-03-01 06:10:00,532.1,371.5,401.3
2025-03-01 06:15:00,532.6,364.7,401.5
2025-03-01 06:20:00,528.2,368.8,396.8
2025-03-01 06:25:00,528.8,370.5,396.7
2025-03-01 06:30:00,529,360.9,399.3
2025-03-01 06:35:00,525,354.7,397.7
2025-03-01 06:40:00,526.1,346.3,397.3
2025-03-01 06:45:00,521.5,346.2,405.1
2025-03-01 06:50:00,521.1,353.4,395.4
2025-03-01 06:55:00,519.8,343.3,406
2025-03-01 07:00:00,516.1,343,400.8
2025-03-01 07:05:00,519.9,343.9,402.9
2025-03-01 07:10:00,515.7,344.4,402.5
2025-03-01 07:15:00,515.9,337.5,401.8
2025-03-01 07:20:00,516.1,335.3,404.9
2025-03-01 07:25:00,514.8,335.2,396.6
2025-03-01 07:30:00,514.3,331.8,399.4
2025-03-01 07:35:00,510.8,330.9,397.3
2025-03-01 07:40:00,508.7,332.9,394.7
2025-03-01 07:45:00,508.6,331.5,397.8
2025-03-01 07:50:00,502.8,336.8,405.4
2025-03-01 07:55:00,502.5,331.4,399.2
2025-03-01 08:00:00,501.9,333.5,405.6
2025-03-01 08:05:00,502,326.9,405.9
2025-03-01 08:10:00,505.4,332,408.6
2025-03-01 08:15:00,500.7,328.8,405.2
2025-03-01 08:20:00,501.6,332.8,406.5
2025-03-01 08:25:00,506,334.6,400.4
2025-03-01 08:30:00,500.5,333.8,400
2025-03-01 08:35:00,503.3,342.2,400.1
2025-03-01 08:40:00,497.9,340.8,399.1
2025-03-01 08:45:00,499.8,341.7,399.4
2025-03-01 08:50:00,497.3,342.3,401
2025-03-01 08:55:00,499,347.3,397.2
2025-03-01 09:00:00,502.5,339.8,394.3
2025-03-01 09:05:00,494.9,350.5,399.3
2025-03-01 09:10:00,501.5,345.8,395.9
2025-03-01 09:15:00,501.1,349.6,396
2025-03-01 09:20:00,498.9,355.6,397
2025-03-01 09:25:00,496.7,360.3,396
2025-03-01 09:30:00,501.8,356,400.1
2025-03-01 09:35:00,500.5,360.7,395.9
2025-03-01 09:40:00,503.4,365.5,399.5
2025-03-01 09:45:00,503.5,367.6,396.2
2025-03-01 09:50:00,509,373.7,394.8
2025-03-01 09:55:00,504.3,384.5,394.9
2025-03-01 10:00:00,502.8,378.5,390
2025-03-01 10:05:00,507.4,378,394.2
2025-03-01 10:10:00,508.5,379.4,395
2025-03-01 10:15:00,512.9,385.3,394.6
2025-03-01 10:20:00,512.5,386.4,386.7
2025-03-01 10:25:00,512.2,393.6,385.3
2025-03-01 10:30:00,516.6,396.4,387.3
2025-03-01 10:35:00,509.9,396.5,391.9
2025-03-01 10:40:00,512.7,406.6,387.3
2025-03-01 10:45:00,513.1,401.2,383
2025-03-01 10:50:00,516,405.6,379.7
2025-03-01 10:55:00,514.3,410.5,380.5
2025-03-01 11:00:00,521.6,413.7,378.8
2025-03-01 11:05:00,520.3,417.3,382.2
2025-03-01 11:10:00,517.8,417,380.7
2025-03-01 11:15:00,520.4,421.1,372.7
2025-03-01 11:20:00,525.6,418.1,376.2
2025-03-01 11:25:00,528.4,424.9,373.8
2025-03-01 11:30:00,533.1,426.8,366.2
2025-03-01 11:35:00,537,430.4,367.2
2025-03-01 11:40:00,530.7,422.6,366.1
2025-03-01 11:45:00,527.6,426.6,363.1
2025-03-01 11:50:00,525.3,433.4,354.9
2025-03-01 11:55:00,533.5,424.4,357.7
2025-03-01 12:00:00,531.3,435.2,356.5
2025-03-01 12:05:00,533.5,438.3,356.4
2025-03-01 12:10:00,533.9,434.6,346.7
2025-03-01 12:15:00,536.2,436.2,344
2025-03-01 12:20:00,540.7,435.3,341.8
2025-03-01 12:25:00,538.9,438,340.1
2025-03-01 12:30:00,538.7,439,336.2
2025-03-01 12:35:00,536.8,439.3,334.3
2025-03-01 12:40:00,535.7,439.9,325.7
2025-03-01 12:45:00,539.9,442,326.8
2025-03-01 12:50:00,541.9,442.7,319.9
2025-03-01 12:55:00,548,449.8,318.2
2025-03-01 13:00:00,543.6,443.5,320.2
2025-03-01 13:05:00,546.7,446.3,307.4
2025-03-01 13:10:00,542.8,444,307.2
2025-03-01 13:15:00,541.2,444.4,300.7
2025-03-01 13:20:00,542.3,441.5,301.5
2025-03-01 13:25:00,543.5,442.2,300.8
2025-03-01 13:30:00,552.4,443.6,294.8
2025-03-01 13:35:00,543.9,448.1,290.7
2025-03-01 13:40:00,549.2,451.1,291.9
2025-03-01 13:45:00,544.3,442.7,285.8
2025-03-01 13:50:00,550.1,446.6,284.4
2025-03-01 13:55:00,548.7,444.4,281.2
2025-03-01 14:00:00,547.3,447.9,267.8
2025-03-01 14:05:00,547.9,452.1,273.7
2025-03-01 14:10:00,546.3,447.6,268.4
2025-03-01 14:15:00,549.7,448.9,267
2025-03-01 14:20:00,547.2,453.6,272
2025-03-01 14:25:00,545,450.7,264.7
2025-03-01 14:30:00,545,447.1,270
2025-03-01 14:35:00,549.5,449.9,258.8
2025-03-01 14:40:00,553.8,447.1,258.7
2025-03-01 14:45:00,549.7,450.9,263.4
2025-03-01 14:50:00,548.9,451.2,259.5
2025-03-01 14:55:00,550.2,445.6,261
2025-03-01 15:00:00,553.4,450.3,259.7
2025-03-01 15:05:00,550.2,449.4,259.7
2025-03-01 15:10:00,548.3,451.4,259.6
2025-03-01 15:15:00,552.9,452.3,261.6
2025-03-01 15:20:00,551,451.3,263.9
2025-03-01 15:25:00,554.3,449,267.8
2025-03-01 15:30:00,550.3,452.7,263.7
2025-03-01 15:35:00,546.1,447.3,264.6
2025-03-01 15:40:00,545.7,446,266
2025-03-01 15:45:00,554.8,440.3,273.9
2025-03-01 15:50:00,555,449.7,273.7
2025-03-01 15:55:00,549.3,447.5,268.3
2025-03-01 16:00:00,548.7,451.2,270.6
2025-03-01 16:05:00,554.3,444.1,276.6
2025-03-01 16:10:00,546.6,448,282.6
2025-03-01 16:15:00,547.2,451.4,284.7
2025-03-01 16:20:00,551.9,446.9,289.4
2025-03-01 16:25:00,548.8,451.2,290.5
2025-03-01 16:30:00,549.9,448.3,298.5
2025-03-01 16:35:00,549.5,449.9,300
2025-03-01 16:40:00,551,451.8,301.3
2025-03-01 16:45:00,554.2,452.9,308
2025-03-01 16:50:00,550.2,450.3,303.1
2025-03-01 16:55:00,551.9,447.6,311.3
2025-03-01 17:00:00,543.8,448.6,315.5
2025-03-01 17:05:00,549.8,451.9,320.4
2025-03-01 17:10:00,547.5,446.9,317
2025-03-01 17:15:00,546.3,449.5,324.9
2025-03-01 17:20:00,547.4,448.8,330.3
2025-03-01 17:25:00,549,449.7,334
2025-03-01 17:30:00,552.7,447,339.5
2025-03-01 17:35:00,546,444.4,341.5
2025-03-01 17:40:00,550.1,451.6,342.3
2025-03-01 17:45:00,548.5,452.9,347.6
2025-03-01 17:50:00,549,444.6,348.1
2025-03-01 17:55:00,553,451.1,352.1
2025-03-01 18:00:00,551.6,453.2,356.9
2025-03-01 18:05:00,554,451.8,357.2
2025-03-01 18:10:00,549.5,448.7,361.1
2025-03-01 18:15:00,547.9,447.2,365.5
2025-03-01 18:20:00,549.3,450.2,367.2
2025-03-01 18:25:00,550.7,450.7,371.2
2025-03-01 18:30:00,550.5,450.3,376.7
2025-03-01 18:35:00,546.7,449.5,374
2025-03-01 18:40:00,550.3,446.8,372.5
2025-03-01 18:45:00,550.7,451.3,377.4
2025-03-01 18:50:00,557.6,451.4,379.1
2025-03-01 18:55:00,555.6,450.6,381.3
2025-03-01 19:00:00,547.4,450.3,385.5
2025-03-01 19:05:00,549.1,455,377.5
2025-03-01 19:10:00,545.6,448.1,388.6
2025-03-01 19:15:00,548.2,453.8,390.9
2025-03-01 19:20:00,550.9,447.8,388.3
2025-03-01 19:25:00,553.6,453.3,389.6
2025-03-01 19:30:00,547.8,453.7,388.1
2025-03-01 19:35:00,548,449.1,389.9
2025-03-01 19:40:00,543.6,455,392.9
2025-03-01 19:45:00,549.5,451.4,393.6
2025-03-01 19:50:00,546.8,447.4,394.6
2025-03-01 19:55:00,548.4,448.9,395.1
2025-03-01 20:00:00,547.4,453.4,396.5
2025-03-01 20:05:00,549.7,452.8,396.8
2025-03-01 20:10:00,544.7,446.8,391.9
2025-03-01 20:15:00,545.6,449.6,398
2025-03-01 20:20:00,556.4,450.6,401.6
2025-03-01 20:25:00,546.1,448.5,396.3
2025-03-01 20:30:00,546.7,457.1,401.3
2025-03-01 20:35:00,555.5,450.7,394.4
2025-03-01 20:40:00,558.7,449.8,397.4
2025-03-01 20:45:00,546.5,453.6,395.8
2025-03-01 20:50:00,548.9,448.9,402.1
2025-03-01 20:55:00,551,453,403.2
2025-03-01 21:00:00,555.2,445,398.1
2025-03-01 21:05:00,547,448.6,402.1
2025-03-01 21:10:00,549.3,453.1,403.7
2025-03-01 21:15:00,552.3,454.7,398.8
2025-03-01 21:20:00,551.3,447.7,399.5
2025-03-01 21:25:00,548.9,447.3,401.4
2025-03-01 21:30:00,549.6,451.7,396.8
2025-03-01 21:35:00,545.9,448.1,399.7
2025-03-01 21:40:00,549.3,449.2,405.9
2025-03-01 21:45:00,549.2,452.6,398
2025-03-01 21:50:00,550.7,448.4,402.2
2025-03-01 21:55:00,548.3,444.1,401.2
2025-03-01 22:00:00,551.4,446.1,399.2
2025-03-01 22:05:00,553,450,400.4
2025-03-01 22:10:00,550.5,444.4,405
2025-03-01 22:15:00,551.1,449.1,401.5
2025-03-01 22:20:00,550.2,445.8,402
2025-03-01 22:25:00,550,454.9,404.7
2025-03-01 22:30:00,547.8,456.5,399
2025-03-01 22:35:00,550.9,446.8,396.8
2025-03-01 22:40:00,549.7,450.8,405.2
2025-03-01 22:45:00,556.3,447.1,400.3
2025-03-01 22:50:00,554.7,449.1,402.6
2025-03-01 22:55:00,551.2,455.4,397.7
2025-03-01 23:00:00,547.7,448.6,401.1
2025-03-01 23:05:00,546.7,449.1,396.7
2025-03-01 23:10:00,553.6,447.2,400.2
2025-03-01 23:15:00,550.8,453.4,398
2025-03-01 23:20:00,551.4,440.2,397.3
2025-03-01 23:25:00,544.8,448.7,399.1
2025-03-01 23:30:00,552.8,449.9,393.1
2025-03-01 23:35:00,551.4,448,396.5
2025-03-01 23:40:00,546.7,452.6,402.3
2025-03-01 23:45:00,548.6,453.6,401
2025-03-01 23:50:00,550.8,445.8,396.8
2025-03-01 23:55:00,550.2,456.3,401.6
2025-03-02 00:00:00,549.1,445.7,397.4
2025-03-02 00:05:00,549.7,453.8,402.2
2025-03-02 00:10:00,549.2,450.4,399.7
2025-03-02 00:15:00,550.5,448.4,399
2025-03-02 00:20:00,554.4,448.7,399.7
2025-03-02 00:25:00,542.3,449.8,407.7
2025-03-02 00:30:00,549.3,450.5,397.7
2025-03-02 00:35:00,550.5,447.1,400.7
2025-03-02 00:40:00,550.9,449.2,402.3
2025-03-02 00:45:00,548.9,447.5,397.1
2025-03-02 00:50:00,544.7,446.2,395.2
2025-03-02 00:55:00,551,447.3,398.2
2025-03-02 01:00:00,555.2,446.3,402.3
2025-03-02 01:05:00,545.4,448.4,399
2025-03-02 01:10:00,552.6,450.9,399.3
2025-03-02 01:15:00,549,450,402.7
2025-03-02 01:20:00,549.8,455.5,397.6
2025-03-02 01:25:00,546.8,442.8,399.7
2025-03-02 01:30:00,549,450.8,395.5
2025-03-02 01:35:00,553.8,449.3,401
2025-03-02 01:40:00,551.7,451.6,400.7
2025-03-02 01:45:00,555.1,451.2,402.4
2025-03-02 01:50:00,553.5,448.5,396.6
2025-03-02 01:55:00,551.2,449.3,399.4
2025-03-02 02:00:00,555.1,446.4,396.2
2025-03-02 02:05:00,551.2,450.3,399.3
2025-03-02 02:10:00,552.3,442.7,404.4
2025-03-02 02:15:00,548.9,450.4,399
2025-03-02 02:20:00,550,447.8,395.9
2025-03-02 02:25:00,547.7,446.1,398
2025-03-02 02:30:00,552.7,446.6,395.2
2025-03-02 02:35:00,546.2,446.5,396.1
2025-03-02 02:40:00,552,450.5,402
2025-03-02 02:45:00,549,455.9,395.7
2025-03-02 02:50:00,553.1,449.4,400.9
2025-03-02 02:55:00,551.8,443.6,400.1
2025-03-02 03:00:00,554.9,446.6,398.4
2025-03-02 03:05:00,551.6,446.2,400.7
2025-03-02 03:10:00,544.6,440.8,397.2
2025-03-02 03:15:00,549,439.1,402.5
2025-03-02 03:20:00,545.6,441.9,397.9
2025-03-02 03:25:00,547.4,443.7,398.8
2025-03-02 03:30:00,553.4,435.6,398.5
2025-03-02 03:35:00,550.6,437.4,402.1
2025-03-02 03:40:00,546.5,440.2,401.6
2025-03-02 03:45:00,545.4,437.6,392.1
2025-03-02 03:50:00,548.3,440.5,400.8
2025-03-02 03:55:00,544.4,430.8,394.8
2025-03-02 04:00:00,545.8,440.8,399
2025-03-02 04:05:00,548.5,427.7,399.7
2025-03-02 04:10:00,550.8,424.8,398.9
2025-03-02 04:15:00,548.8,429.1,401.5
2025-03-02 04:20:00,539.8,424.2,402.2
2025-03-02 04:25:00,547.3,425.8,397.7
2025-03-02 04:30:00,546.2,423.8,397.6
2025-03-02 04:35:00,546.9,421.5,399.9
2025-03-02 04:40:00,550.1,417.6,395.4
2025-03-02 04:45:00,538.6,419.3,398.6
2025-03-02 04:50:00,542.5,414.8,404
2025-03-02 04:55:00,545.6,416.7,395.5
2025-03-02 05:00:00,538.5,410.5,399
2025-03-02 05:05:00,547.1,405.7,398.2
2025-03-02 05:10:00,543.1,400.9,406
2025-03-02 05:15:00,543.9,402.9,398.4
2025-03-02 05:20:00,539,396.9,398.6
2025-03-02 05:25:00,542.4,393.8,396.9
2025-03-02 05:30:00,542.4,396.6,400
2025-03-02 05:35:00,539.1,386.8,400.8
2025-03-02 05:40:00,538.2,393.5,397.3
2025-03-02 05:45:00,537.5,386.7,403
2025-03-02 05:50:00,533.1,383.1,400.8
2025-03-02 05:55:00,534.3,377.1,402.6
2025-03-02 06:00:00,533.3,379.5,399
2025-03-02 06:05:00,533.9,374.2,400.7
2025-03-02 06:10:00,534.7,369.1,399.4
2025-03-02 06:15:00,527.4,368.8,404.4
2025-03-02 06:20:00,529.1,360.2,400.3
2025-03-02 06:25:00,532.7,357.4,400
2025-03-02 06:30:00,524.9,356.1,398.6
2025-03-02 06:35:00,523.4,357.7,398.4
2025-03-02 06:40:00,525.3,353.9,400.7
2025-03-02 06:45:00,526,354.4,402.4
2025-03-02 06:50:00,522.2,346,397.9
2025-03-02 06:55:00,524.9,348.1,400.3
2025-03-02 07:00:00,522.2,343.8,400.5
2025-03-02 07:05:00,520.9,339.1,401
2025-03-02 07:10:00,518.8,341.1,394.8
2025-03-02 07:15:00,522.9,337.9,397.1
2025-03-02 07:20:00,514.1,334.6,395.8
2025-03-02 07:25:00,507.4,335.1,400
2025-03-02 07:30:00,517.1,333.3,397.2
2025-03-02 07:35:00,509.7,332.1,398.4
2025-03-02 07:40:00,510.3,330.4,396.2
2025-03-02 07:45:00,512.8,327,398.6
2025-03-02 07:50:00,503,330.6,396.4
2025-03-02 07:55:00,503.1,327.7,402
2025-03-02 08:00:00,501.1,326.9,401.1
2025-03-02 08:05:00,502.6,329.4,400.1
2025-03-02 08:10:00,505.5,332.6,398.7
2025-03-02 08:15:00,505,331.5,393.4
2025-03-02 08:20:00,503.5,330.1,398.1
2025-03-02 08:25:00,497.8,330.9,397.1
2025-03-02 08:30:00,494.6,335.6,400
2025-03-02 08:35:00,501.2,327.8,401
2025-03-02 08:40:00,499.3,338.9,400
2025-03-02 08:45:00,501.8,332.5,402.7
2025-03-02 08:50:00,502.3,335.7,397.1
2025-03-02 08:55:00,500.5,340.4,396.8
2025-03-02 09:00:00,502.3,350.6,401.6
2025-03-02 09:05:00,500.7,351.4,398.7
2025-03-02 09:10:00,501.8,350.9,397.3
2025-03-02 09:15:00,498.3,352.4,403.3
2025-03-02 09:20:00,500.2,348.3,399.2
2025-03-02 09:25:00,501.7,357.1,396.6
2025-03-02 09:30:00,504,357.8,394.8
2025-03-02 09:35:00,500.9,359.8,400.4
2025-03-02 09:40:00,504.3,365.7,396.6
2025-03-02 09:45:00,502.6,366.8,395.6
2025-03-02 09:50:00,503.8,373.8,397.1
2025-03-02 09:55:00,507.5,368.4,397.1
2025-03-02 10:00:00,499.9,377.4,395.5
2025-03-02 10:05:00,502.9,377.6,395.8
2025-03-02 10:10:00,503.4,382,393.8
2025-03-02 10:15:00,501.9,387.2,393.3
2025-03-02 10:20:00,507.9,385.9,388.6
2025-03-02 10:25:00,513.3,392.7,395.3
2025-03-02 10:30:00,511.4,394.4,385.2
2025-03-02 10:35:00,514,395.9,388.7
2025-03-02 10:40:00,517.9,399.3,382.6
2025-03-02 10:45:00,519.9,402.9,385.1
2025-03-02 10:50:00,516.9,403.7,382.3
2025-03-02 10:55:00,522.5,408.6,383
2025-03-02 11:00:00,519.9,410.2,382.1
2025-03-02 11:05:00,518.4,411.6,376.6
2025-03-02 11:10:00,520.4,420.5,377.6
2025-03-02 11:15:00,519,419.2,380
2025-03-02 11:20:00,522,418.9,370
2025-03-02 11:25:00,524.8,422.5,369.3
2025-03-02 11:30:00,529.5,421,372.3
2025-03-02 11:35:00,533.5,424.6,367.7
2025-03-02 11:40:00,525.3,426.7,365.5
2025-03-02 11:45:00,531.8,425.6,365.7
2025-03-02 11:50:00,528.5,432,357.6
2025-03-02 11:55:00,534.2,430.8,355.8
2025-03-02 12:00:00,533.4,432.7,352.6
2025-03-02 12:05:00,529.3,433.4,350.6
2025-03-02 12:10:00,538.5,445.2,352.7
2025-03-02 12:15:00,534.8,435.5,340.5
2025-03-02 12:20:00,535.9,432.3,338.9
2025-03-02 12:25:00,535.2,434.7,335.1
2025-03-02 12:30:00,537.2,442.7,340.1
2025-03-02 12:35:00,541.2,445.3,330.7
2025-03-02 12:40:00,540.1,440.1,328.1
2025-03-02 12:45:00,542.4,446.7,320.8
2025-03-02 12:50:00,543.1,445.8,321.4
2025-03-02 12:55:00,546.6,443.6,321.2
2025-03-02 13:00:00,542.2,443.9,315.8
2025-03-02 13:05:00,539.3,445.8,311.2
2025-03-02 13:10:00,547.5,448.4,303.3
2025-03-02 13:15:00,543.8,447.4,303.5
2025-03-02 13:20:00,548.6,444.5,301.5
2025-03-02 13:25:00,546.8,446.4,294.7
2025-03-02 13:30:00,545.6,453.2,296.3
2025-03-02 13:35:00,547.4,448.3,293.7
2025-03-02 13:40:00,552.6,450.4,286.3
2025-03-02 13:45:00,553.3,449.7,287
2025-03-02 13:50:00,547.5,449.1,281.6
2025-03-02 13:55:00,548,448.8,282.5
2025-03-02 14:00:00,551,451.4,282.6
2025-03-02 14:05:00,545.5,451,270.7
2025-03-02 14:10:00,549.2,449.8,273.9
2025-03-02 14:15:00,548.3,447,273.4
2025-03-02 14:20:00,549.5,450.4,264.7
2025-03-02 14:25:00,546.2,449.1,264.1
2025-03-02 14:30:00,544.1,448.5,262.5
2025-03-02 14:35:00,542.8,457.5,262.6
2025-03-02 14:40:00,545.7,444.9,260.9
2025-03-02 14:45:00,547.8,452.5,260.5
2025-03-02 14:50:00,548.4,447.1,263
2025-03-02 14:55:00,555.2,450.1,254.4
2025-03-02 15:00:00,552.8,457.4,257.1
2025-03-02 15:05:00,546.6,446.9,262.1
2025-03-02 15:10:00,550.6,447.6,262.1
2025-03-02 15:15:00,548.4,449.8,257.9
2025-03-02 15:20:00,548.8,447.3,263.6
2025-03-02 15:25:00,550.3,452.5,267
2025-03-02 15:30:00,551.6,448.3,264.2
2025-03-02 15:35:00,548.8,451.9,262.8
2025-03-02 15:40:00,553,445.9,270.2
2025-03-02 15:45:00,546.4,444.5,274.7
2025-03-02 15:50:00,549.9,449.3,269
2025-03-02 15:55:00,557.7,445.2,274.1
2025-03-02 16:00:00,550.6,454.5,279.7
2025-03-02 16:05:00,554.2,445.4,279.4
2025-03-02 16:10:00,550.2,446.9,276.7
2025-03-02 16:15:00,551.7,451.2,286.2
2025-03-02 16:20:00,549.8,448.2,285
2025-03-02 16:25:00,549.4,445.4,287.3
2025-03-02 16:30:00,547.6,456.1,289.1
2025-03-02 16:35:00,551.3,447,301.2
2025-03-02 16:40:00,547.4,449.4,298.6
2025-03-02 16:45:00,552,449.4,305.5
2025-03-02 16:50:00,553.2,452.1,309.8
2025-03-02 16:55:00,551.1,451.4,312
2025-03-02 17:00:00,549.1,447.5,316
2025-03-02 17:05:00,551.3,449,319.8
2025-03-02 17:10:00,549.1,449.3,322.6
2025-03-02 17:15:00,552.8,452.2,323.4
2025-03-02 17:20:00,544.5,446.5,326.6
2025-03-02 17:25:00,549,456.1,332.2
2025-03-02 17:30:00,544,447.7,335.5
2025-03-02 17:35:00,545.5,450,340.5
2025-03-02 17:40:00,554.1,446.5,345.7
2025-03-02 17:45:00,552.7,446.1,346.6
2025-03-02 17:50:00,547.8,447.4,346.2
2025-03-02 17:55:00,545.5,447.1,345.1
2025-03-02 18:00:00,541.1,448.8,352.2
2025-03-02 18:05:00,548.4,447.1,353.3
2025-03-02 18:10:00,557.3,452.1,357.8
2025-03-02 18:15:00,551.3,447.7,363.3
2025-03-02 18:20:00,548.3,447.3,365.3
2025-03-02 18:25:00,551.4,448.8,373
2025-03-02 18:30:00,545.3,453,371.2
2025-03-02 18:35:00,549.1,450.6,377.6
2025-03-02 18:40:00,550.3,449.7,376.1
2025-03-02 18:45:00,549.7,445.7,379.1
2025-03-02 18:50:00,552.4,446.6,376.6
2025-03-02 18:55:00,551,446.2,376.2
2025-03-02 19:00:00,552,453.9,379.7
2025-03-02 19:05:00,547.9,451.6,382.5
2025-03-02 19:10:00,552.7,447.4,382.1
2025-03-02 19:15:00,554.9,448.3,382.4
2025-03-02 19:20:00,547.1,447.5,387.9
2025-03-02 19:25:00,547.3,447.3,384.8
2025-03-02 19:30:00,554,451.4,384.3
2025-03-02 19:35:00,549.4,449.1,386.5
2025-03-02 19:40:00,554.2,456.2,390.1
2025-03-02 19:45:00,548.7,453.8,388.7
2025-03-02 19:50:00,554.4,453.9,391.8
2025-03-02 19:55:00,550.4,452,395
2025-03-02 20:00:00,550.8,448.7,395.6
2025-03-02 20:05:00,554.7,451.8,392.5
2025-03-02 20:10:00,548.9,449,391.1
2025-03-02 20:15:00,547.2,454.9,393.8
2025-03-02 20:20:00,548.7,451.2,398
2025-03-02 20:25:00,551.4,450.8,399.1
2025-03-02 20:30:00,545.3,450.4,397.9
2025-03-02 20:35:00,551.9,455.2,400.8
2025-03-02 20:40:00,548.4,445.7,402.7
2025-03-02 20:45:00,553.4,455.5,396.3
2025-03-02 20:50:00,542.8,449.4,402.5
2025-03-02 20:55:00,547.6,445.8,397.5
2025-03-02 21:00:00,544.9,447.7,401.5
2025-03-02 21:05:00,547.5,445,400.8
2025-03-02 21:10:00,550.7,452,392.9
2025-03-02 21:15:00,549.5,446.9,396
2025-03-02 21:20:00,549.2,450.5,395.4
2025-03-02 21:25:00,549.5,453.4,393.8
2025-03-02 21:30:00,550.6,448,401.9
2025-03-02 21:35:00,547,449.2,405.6
2025-03-02 21:40:00,552.1,446.1,398.7
2025-03-02 21:45:00,552,448.8,402.1
2025-03-02 21:50:00,551.2,457.7,404
2025-03-02 21:55:00,551.7,452.3,400.3
2025-03-02 22:00:00,550.9,449.2,399.6
2025-03-02 22:05:00,556.1,448.2,399
2025-03-02 22:10:00,549.7,449.9,401.4
2025-03-02 22:15:00,549.1,450.4,402.4
2025-03-02 22:20:00,547.7,448.7,401.2
2025-03-02 22:25:00,546.9,451.6,401.1
2025-03-02 22:30:00,546.3,447.1,399.7
2025-03-02 22:35:00,547.3,447.1,395.1
2025-03-02 22:40:00,549.8,451.1,402.6
2025-03-02 22:45:00,551,446.5,396.1
2025-03-02 22:50:00,550.2,452.2,401.8
2025-03-02 22:55:00,547.7,450,402.2
2025-03-02 23:00:00,552.7,444.5,396.5
2025-03-02 23:05:00,552.2,450.3,398.1
2025-03-02 23:10:00,549.5,444.9,406.3
